emp_no,last_name,first_name,gender,to_date,salary
10001,Facello,Georgi,M,1987-06-26,60117
10198,Furedi,Pranav,M,1986-08-31,44076
10215,Duclos,Xiaobin,M,1992-11-22,43944
10224,Trogemann,Leon,M,1989-01-08,40000
10233,Vendrig,Lein,F,1995-04-29,40000
10258,Ishibashi,Basil,F,1986-05-17,66280
10272,Cannane,Yishai,M,1998-10-23,58070
10282,Benzmuller,Hercules,M,1997-05-02,40000
10283,Birjandi,Kauko,M,1989-05-25,40000
10326,Czap,Masali,F,1999-09-02,40000
10340,Laventhal,Djelloul,M,1989-03-30,68132
10347,Kaminger,Pradeep,M,1999-02-20,42199
10355,Cochrane,Satyanarayana,M,1997-01-25,70434
10356,Standera,Vasilis,M,1996-06-25,45376
10364,Dengi,Nakhoon,M,1986-11-14,51401
10372,Frijda,Anneli,F,1986-07-30,54505
10387,Wrigley,Parto,F,1995-01-07,61374
10396,Rahier,Sibyl,M,1987-01-11,40393
10402,Ebeling,Volkmar,M,1988-01-02,40000
10404,Rosti,Prodip,F,1989-08-28,51647
10426,Luce,Arunas,F,1986-07-06,65757
10429,Improta,Martien,F,1989-09-23,40000
10432,Tiemann,Hisao,F,1991-08-13,40000
10451,Ranta,Bodh,F,1989-03-12,46275
10453,Matzel,Tsvetan,F,1986-04-02,40000
10463,Zaiane,Ung,M,1995-02-17,66480
10486,Kossowski,Amstein,F,1988-10-07,71692
10494,Servieres,Yakkov,F,1992-12-17,50094
10504,Varker,Xiong,M,2000-10-18,43931
10512,Gihr,Udi,M,1990-11-28,40000
10522,Cesareni,Marke,F,1987-12-12,40000
10548,Gunderson,Ramalingam,M,1987-07-04,90631
10564,Thisen,Jianhao,M,1996-11-22,46660
10623,Danlos,Aleksander,F,1993-01-14,60268
10628,Krogh,Krisda,M,1988-03-13,41650
10631,Chaudhuri,Inderjeet,M,1995-10-18,40000
10642,Narlikar,Hirochika,M,1999-10-05,40000
10653,Feinberg,Otmar,M,1988-04-29,40000
10671,Rebaine,Parviz,M,1996-09-13,74037
10676,Danley,Valeri,F,2000-09-03,58226
10693,Daescu,Berhard,F,1987-01-08,40000
10702,Szemeredi,Bader,M,1992-01-14,46581
10004,Koblick,Chirstian,M,1987-12-01,40054
10009,Peac,Sumant,F,1986-02-18,60929
10018,Peha,Kazuhide,F,1988-04-02,55881
10718,Rullman,Adib,M,1989-07-21,75473
10726,Minakawa,Zita,F,1993-02-24,46315
10035,Chappelet,Alain,M,1989-09-05,41538
10734,Erdi,Sachar,M,1996-12-18,47377
10053,Zschoche,Sanjiv,F,1995-11-13,67854
10058,McFarlin,Berhard,M,1989-04-25,52787
10745,Ranze,Poorav,F,1989-01-22,40000
10066,Schusler,Kwee,M,1987-02-26,69736
10749,Brendel,King,M,1986-09-26,60829
10067,Stavenow,Claudi,M,1988-03-03,44642
10070,Garigliano,Reuven,M,1986-10-14,55999
10072,Sidou,Hironoby,F,1990-05-21,40000
10767,Doering,Monique,F,1998-07-15,40651
10768,Candan,Ishfaq,M,1986-07-04,65717
10076,Ritzmann,Erez,F,1997-07-15,47319
10088,Syrzycki,Jungsoon,F,1989-09-02,65957
10100,Haraldson,Hironobu,F,1988-09-20,54398
10778,Merey,Selwyn,M,1987-07-04,64996
10791,Sgarro,Tadahiko,M,1989-07-30,40000
